Ghaziabad U A,1911,0,14065
Ghaziabad U A,1921,0,15317
Ghaziabad U A,1931,0,21751
Ghaziabad U A,1941,0,27109
Ghaziabad U A,1951,0,43745
Ghaziabad U A,1961,11.68,70438
Ghaziabad U A,1971,38.22,137033
Ghaziabad U A,1981,68.4,297429
Ghaziabad U A,1991,79.89,578680
Ghaziabad U A,2001,161.21,1217543
Ghaziabad U A,2011,263.29,2375820
Indore U A,1901,0,97804
Indore U A,1911,0,54142
Indore U A,1921,0,105317
Indore U A,1931,0,142524
Indore U A,1941,0,203695
Indore U A,1951,0,310859
Indore U A,1961,55.84,394941
Indore U A,1971,58.72,560936
Indore U A,1981,113.52,829327
Indore U A,1991,165.17,1109056
Indore U A,2001,165.17,1516918
Indore U A,2011,233.6,2170295
Coimbatore U A,1901,0,53080
Coimbatore U A,1911,0,47007
Coimbatore U A,1921,0,75491
Coimbatore U A,1931,0,108023
Coimbatore U A,1941,0,189612
Coimbatore U A,1951,0,287334
Coimbatore U A,1961,169.7,453601
Coimbatore U A,1971,298.95,736203
Coimbatore U A,1981,290.73,920355
Coimbatore U A,1991,317.23,1100746
Coimbatore U A,2001,598.12,1601194
Coimbatore U A,2011,696.25,2136916
Kochi U A,1901,0,74198
Kochi U A,1911,0,87353
Kochi U A,1921,0,91975
Kochi U A,1931,0,144953
Kochi U A,1941,0,180730
Kochi U A,1951,0,234178
Kochi U A,1961,110.72,365806
Kochi U A,1971,176.95,607339
Kochi U A,1981,322.77,937744
Kochi U A,1991,426.67,1242115
Kochi U A,2001,477.08,1410666
Kochi U A,2011,843.84,2119724
Patna U A,1901,0,180025
Patna U A,1911,0,176688
Patna U A,1921,0,158048
Patna U A,1931,0,201540
Patna U A,1941,0,245267
Patna U A,1951,0,341911
Patna U A,1961,79.87,435360
Patna U A,1971,97.01,575476
Patna U A,1981,112.24,953064
Patna U A,1991,132.27,1140100
Patna U A,2001,135.19,1697976
Patna U A,2011,142.46,2049156
Kozhikode U A,1901,0,88300
Kozhikode U A,1911,0,89566
Kozhikode U A,1921,0,92138
Kozhikode U A,1931,0,110532
Kozhikode U A,1941,0,163238
Kozhikode U A,1951,0,228152
Kozhikode U A,1961,110.15,348587
Kozhikode U A,1971,188.83,534742
Kozhikode U A,1981,159.69,610232
Kozhikode U A,1991,339.67,945802
Kozhikode U A,2001,334.94,1101157
Kozhikode U A,2011,909.79,2028399
Bhopal U A,1901,0,77023
Bhopal U A,1911,0,56204
Bhopal U A,1921,0,45094
Bhopal U A,1931,0,61037
Bhopal U A,1941,0,75228
Bhopal U A,1951,0,102333
Bhopal U A,1961,94.72,222948
Bhopal U A,1971,122.76,384859
Bhopal U A,1981,284.9,671018
Bhopal U A,1991,284.9,1062771
Bhopal U A,2001,298.48,1458416
Bhopal U A,2011,336.06,1886100
Thrissur U A,1901,0,31199
Thrissur U A,1911,0,40609
Thrissur U A,1921,0,51676
Thrissur U A,1931,0,77393
Thrissur U A,1941,0,106316
Thrissur U A,1951,0,127948
Thrissur U A,1961,63.21,157282
Thrissur U A,1971,65.92,205038
Thrissur U A,1981,189.96,472889
Thrissur U A,1991,252.65,627063
Thrissur U A,2001,310.49,773598
Thrissur U A,2011,990.91,1861269
Vadodara U A,1901,0,103790
Vadodara U A,1911,0,99345
Vadodara U A,1921,0,94712
Vadodara U A,1931,0,112860
Vadodara U A,1941,0,153301
Vadodara U A,1951,0,211407
Vadodara U A,1961,34.42,309716
Vadodara U A,1971,87.71,478524
Vadodara U A,1981,132.54,776182
Vadodara U A,1991,0,1127903
Vadodara U A,2001,213.88,1491045
Vadodara U A,2011,310.35,1822221
Agra U A,1901,0,188022
Agra U A,1911,0,185449
Agra U A,1921,0,185532
Agra U A,1931,0,229764
Agra U A,1941,0,284149
Agra U A,1951,0,375665
Agra U A,1961,88.82,508680
Agra U A,1971,87.75,634622
Agra U A,1981,82.22,747318
Agra U A,1991,145.36,961420
Agra U A,2001,149.37,1374493
Agra U A,2011,166.21,1760285
Visakhapatnam,1901,0,40892
Visakhapatnam,1911,0,43413
Visakhapatnam,1921,0,44711
Visakhapatnam,1931,0,57303
Visakhapatnam,1941,0,70243
Visakhapatnam,1951,0,108042
Visakhapatnam,1961,29.14,211190
Visakhapatnam,1971,94.53,363467
Visakhapatnam,1981,96.54,603630
Visakhapatnam,1991,310.97,1044119
Visakhapatnam,2001,325.83,1345938
Visakhapatnam,2011,513.61,1728128
Malappuram U A,1901,0,10562
Malappuram U A,1911,0,13984
Malappuram U A,1921,0,13345
Malappuram U A,1931,0,16210
Malappuram U A,1941,0,32874
Malappuram U A,1951,0,45793
Malappuram U A,1961,27.3,48650
Malappuram U A,1971,72.78,115731
Malappuram U A,1981,112.57,177774
Malappuram U A,1991,137.11,243427
Malappuram U A,2001,152.67,311558
Malappuram U A,2011,819.39,1699060
Thiruvananthapuram U A,1901,0,57882
Thiruvananthapuram U A,1911,0,63561
Thiruvananthapuram U A,1921,0,93698
Thiruvananthapuram U A,1931,0,118123
Thiruvananthapuram U A,1941,0,160970
Thiruvananthapuram U A,1951,0,229485
Thiruvananthapuram U A,1961,112.9,340138
Thiruvananthapuram U A,1971,118.75,501151
Thiruvananthapuram U A,1981,150.14,621752
Thiruvananthapuram U A,1991,242.07,959256
Thiruvananthapuram U A,2001,256.22,1050933
Thiruvananthapuram U A,2011,542.57,1679754
Kannur U A,1901,0,55694
Kannur U A,1911,0,58215
Kannur U A,1921,0,55281
Kannur U A,1931,0,64585
Kannur U A,1941,0,70969
Kannur U A,1951,0,82471
Kannur U A,1961,96.39,211193
Kannur U A,1971,82.98,210975
Kannur U A,1981,276.6,612659
Kannur U A,1991,647.14,1145476
Kannur U A,2001,638.95,1212898
Kannur U A,2011,1003.66,1640986
Ludhiana,1901,0,48649
Ludhiana,1911,0,44170
Ludhiana,1921,0,51880
Ludhiana,1931,0,68586
Ludhiana,1941,0,111639
Ludhiana,1951,0,153795
Ludhiana,1961,19.66,244032
Ludhiana,1971,41.7,401176
Ludhiana,1981,110.0,607052
Ludhiana,1991,134.67,1042740
Ludhiana,2001,159.37,1398467
Ludhiana,2011,159.37,1618879
Nashik U A,1901,0,24384
Nashik U A,1911,0,31932
Nashik U A,1921,0,57019
Nashik U A,1931,0,57347
Nashik U A,1941,0,74167
Nashik U A,1951,0,156888
Nashik U A,1961,127.79,215576
Nashik U A,1971,132.97,271681
Nashik U A,1981,165.2,443003
Nashik U A,1991,321.94,725341
Nashik U A,2001,321.98,1152326
Nashik U A,2011,321.98,1561809
Vijayawada U A,1901,0,31926
Vijayawada U A,1911,0,41614
Vijayawada U A,1921,0,54104
Vijayawada U A,1931,0,71399
Vijayawada U A,1941,0,99501
Vijayawada U A,1951,0,186394
Vijayawada U A,1961,48.1,269536
Vijayawada U A,1971,89.1,395084
Vijayawada U A,1981,105.3,613722
Vijayawada U A,1991,104.71,845756
Vijayawada U A,2001,101.2,1039518
Vijayawada U A,2011,283.58,1476931
Madurai U A,1901,0,105984
Madurai U A,1911,0,134130
Madurai U A,1921,0,144148
Madurai U A,1931,0,187767
Madurai U A,1941,0,244846
Madurai U A,1951,0,370791
Madurai U A,1961,88.89,490882
Madurai U A,1971,104.24,701904
Madurai U A,1981,104.27,899303
Madurai U A,1991,110.21,1077158
Madurai U A,2001,143.43,1220898
Madurai U A,2011,151.34,1465625
Varanasi U A,1901,0,226105
Varanasi U A,1911,0,217012
Varanasi U A,1921,0,210745
Varanasi U A,1931,0,220143
Varanasi U A,1941,0,278955
Varanasi U A,1951,0,369799
Varanasi U A,1961,88.84,505952
Varanasi U A,1971,91.58,635175
Varanasi U A,1981,105.87,803365
Varanasi U A,1991,106.82,1039939
Varanasi U A,2001,114.31,1216392
Varanasi U A,2011,118.68,1432280
Meerut U A,1901,0,125999
Meerut U A,1911,0,124197
Meerut U A,1921,0,129193
Meerut U A,1931,0,146472
Meerut U A,1941,0,185259
Meerut U A,1951,0,245179
Meerut U A,1961,59.13,294853
Meerut U A,1971,57.27,383106
Meerut U A,1981,82.44,542998
Meerut U A,1991,177.58,849799
Meerut U A,2001,183.64,1172106
Meerut U A,2011,186.61,1420902
Faridabad,1901,0,9816
Faridabad,1911,0,8540
Faridabad,1921,0,8058
Faridabad,1931,0,9296
Faridabad,1941,0,11475
Faridabad,1951,0,37393
Faridabad,1961,25.75,59039
Faridabad,1971,25.75,122817
Faridabad,1981,178.24,330864
Faridabad,1991,178.24,617717
Faridabad,2001,198.75,1055938
Faridabad,2011,204.0,1414050
Rajkot U A,1901,0,36151
Rajkot U A,1911,0,34194
Rajkot U A,1921,0,45845
Rajkot U A,1931,0,59112
Rajkot U A,1941,0,66353
Rajkot U A,1951,0,132069
Rajkot U A,1961,0,194145
Rajkot U A,1971,60.15,300612
Rajkot U A,1981,69.0,445076
Rajkot U A,1991,0,654490
Rajkot U A,2001,163.14,1003015
Rajkot U A,2011,185.38,1390640
Jamshedpur U A,1911,0,5672
Jamshedpur U A,1921,0,57360
Jamshedpur U A,1931,0,92459
Jamshedpur U A,1941,0,165395
Jamshedpur U A,1951,0,218162
Jamshedpur U A,1961,79,328044
Jamshedpur U A,1971,128.02,440426
Jamshedpur U A,1981,150.69,680054
Jamshedpur U A,1991,159.55,829171
Jamshedpur U A,2001,159.55,1104713
Jamshedpur U A,2011,184.07,1339438
Jabalpur U A,1901,0,90316
Jabalpur U A,1911,0,100651
Jabalpur U A,1921,0,108793
Jabalpur U A,1931,0,124382
Jabalpur U A,1941,0,178339
Jabalpur U A,1951,0,256998
Jabalpur U A,1961,173.25,367014
Jabalpur U A,1971,221.51,534845
Jabalpur U A,1981,230.64,757303
Jabalpur U A,1991,224.45,888916
Jabalpur U A,2001,205.15,1098000
Jabalpur U A,2011,237.16,1268848
Srinagar U A,1901,0,122618
Srinagar U A,1911,0,129692
Srinagar U A,1921,0,145229
Srinagar U A,1931,0,178328
Srinagar U A,1941,0,214042
Srinagar U A,1951,0,255731
Srinagar U A,1961,50.96,297421
Srinagar U A,1971,107.17,431835
Srinagar U A,1981,210.65,616835
Srinagar U A,1991,0,0
Srinagar U A,2001,242.6,988210
Srinagar U A,2011,304.27,1264202
Asansol U A,1901,0,30747
Asansol U A,1911,0,37416
Asansol U A,1921,0,41035
Asansol U A,1931,0,64973
Asansol U A,1941,0,121508
Asansol U A,1951,0,182104
Asansol U A,1961,63.3,286539
Asansol U A,1971,73.44,370800
Asansol U A,1981,149.01,628991
Asansol U A,1991,280.74,938067
Asansol U A,2001,351.93,1067369
Asansol U A,2011,369.34,1243414
Vasai Virar City,1901,0,10702
Vasai Virar City,1911,0,9598
Vasai Virar City,1921,0,10366
Vasai Virar City,1931,0,12689
Vasai Virar City,1941,0,13969
Vasai Virar City,1951,0,26873
Vasai Virar City,1961,22.56,37651
Vasai Virar City,1971,26.58,57622
Vasai Virar City,1981,27.41,80038
Vasai Virar City,1991,50.69,215762
Vasai Virar City,2001,74.55,518601
Vasai Virar City,2011,319.39,1222390
Allahabad U A,1901,0,172032
Allahabad U A,1911,0,171697
Allahabad U A,1921,0,157220
Allahabad U A,1931,0,183914
Allahabad U A,1941,0,260630
Allahabad U A,1951,0,332295
Allahabad U A,1961,81.46,430730
Allahabad U A,1971,82.18,513036
Allahabad U A,1981,82.18,650070
Allahabad U A,1991,82.18,844546
Allahabad U A,2001,85.69,1042229
Allahabad U A,2011,115.46,1212395
Dhanbad U A,1921,0,11973
Dhanbad U A,1931,0,16356
Dhanbad U A,1941,0,39448
